"날짜","종가","오픈","고가","저가","변동 %"
"2021년 03월 31일","1,132.24","1,134.05","1,134.05","1,131.34","-0.03%"
"2021년 03월 30일","1,132.59","1,132.56","1,136.29","1,131.42","0.09%"
"2021년 03월 29일","1,131.56","1,128.95","1,136.41","1,128.77","0.27%"
"2021년 03월 26일","1,128.52","1,135.24","1,136.09","1,128.07","-0.58%"
"2021년 03월 25일","1,135.12","1,135.40","1,138.02","1,131.93","0.02%"
"2021년 03월 24일","1,134.90","1,133.40","1,135.96","1,130.24","0.18%"
"2021년 03월 23일","1,132.90","1,126.49","1,134.48","1,125.02","0.61%"
"2021년 03월 22일","1,126.00","1,129.47","1,134.01","1,125.61","-0.28%"
"2021년 03월 19일","1,129.12","1,128.25","1,134.80","1,125.31","0.12%"
"2021년 03월 18일","1,127.75","1,121.91","1,131.30","1,120.04","0.58%"
"2021년 03월 17일","1,121.21","1,129.93","1,134.31","1,120.65","-0.69%"
"2021년 03월 16일","1,129.00","1,132.85","1,135.91","1,128.14","-0.30%"
"2021년 03월 15일","1,132.35","1,136.50","1,138.78","1,130.92","-0.37%"
"2021년 03월 12일","1,136.50","1,130.85","1,139.35","1,127.27","0.54%"
"2021년 03월 11일","1,130.35","1,136.91","1,140.99","1,128.90","-0.49%"
"2021년 03월 10일","1,135.91","1,135.91","1,145.60","1,135.31","0.09%"
"2021년 03월 09일","1,134.91","1,141.83","1,144.85","1,133.38","-0.52%"
"2021년 03월 08일","1,140.83","1,128.85","1,144.07","1,127.06","1.14%"
"2021년 03월 05일","1,128.00","1,131.03","1,137.27","1,124.04","-0.25%"
"2021년 03월 04일","1,130.87","1,127.05","1,133.06","1,123.36","0.43%"
"2021년 03월 03일","1,126.05","1,125.29","1,128.05","1,116.95","0.09%"
"2021년 03월 02일","1,125.01","1,113.53","1,128.28","1,102.06","1.05%"
"2021년 03월 01일","1,113.33","1,124.89","1,125.15","1,113.09","-0.94%"
"2021년 02월 26일","1,123.89","1,119.47","1,130.33","1,118.41","0.46%"
"2021년 02월 25일","1,118.77","1,107.54","1,121.61","1,105.70","1.04%"
"2021년 02월 24일","1,107.27","1,110.22","1,113.75","1,106.08","-0.26%"
"2021년 02월 23일","1,110.13","1,112.58","1,114.81","1,108.24","-0.13%"
"2021년 02월 22일","1,111.59","1,106.02","1,116.10","1,102.83","0.66%"
"2021년 02월 19일","1,104.27","1,107.08","1,111.28","1,102.22","-0.24%"
"2021년 02월 18일","1,106.96","1,106.50","1,110.15","1,103.19","0.12%"
"2021년 02월 17일","1,105.61","1,107.58","1,110.81","1,104.49","-0.09%"
"2021년 02월 16일","1,106.58","1,102.31","1,109.55","1,096.91","0.48%"
"2021년 02월 15일","1,101.31","1,104.37","1,106.00","1,100.70","-0.12%"
"2021년 02월 12일","1,102.59","1,103.12","1,107.59","1,101.73","0.04%"
"2021년 02월 11일","1,102.12","1,106.48","1,108.02","1,102.05","-0.30%"
"2021년 02월 10일","1,105.48","1,111.01","1,114.16","1,103.59","-0.49%"
"2021년 02월 09일","1,110.88","1,117.31","1,118.75","1,110.08","-0.42%"
"2021년 02월 08일","1,115.61","1,117.76","1,122.17","1,116.05","-0.10%"
"2021년 02월 05일","1,116.77","1,120.11","1,127.85","1,116.22","-0.29%"
"2021년 02월 04일","1,120.00","1,113.58","1,122.74","1,112.48","0.59%"
"2021년 02월 03일","1,113.46","1,115.51","1,117.25","1,111.80","-0.17%"
"2021년 02월 02일","1,115.37","1,117.44","1,119.70","1,113.65","-0.10%"
"2021년 02월 01일","1,116.51","1,118.43","1,120.98","1,115.55","-0.10%"
"2021년 01월 29일","1,117.64","1,113.24","1,121.76","1,112.15","0.46%"
"2021년 01월 28일","1,112.52","1,108.42","1,121.36","1,107.49","0.37%"
"2021년 01월 27일","1,108.38","1,102.01","1,109.90","1,100.87","0.67%"
"2021년 01월 26일","1,101.02","1,102.69","1,108.24","1,100.47","-0.14%"
"2021년 01월 25일","1,102.58","1,105.54","1,105.92","1,100.05","-0.26%"
"2021년 01월 22일","1,105.41","1,099.97","1,107.29","1,098.95","0.50%"
"2021년 01월 21일","1,099.88","1,097.35","1,102.67","1,096.59","0.32%"
"2021년 01월 20일","1,096.35","1,102.44","1,103.39","1,096.88","-0.46%"
"2021년 01월 19일","1,101.44","1,104.18","1,106.17","1,100.20","-0.10%"
