"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 03월 17일","91.918","91.890","91.983","91.865","-","0.04%"
"2021년 03월 16일","91.880","91.820","92.045","91.670","24.24K","0.03%"
"2021년 03월 15일","91.852","91.640","91.855","91.640","1.54K","0.19%"
"2021년 03월 12일","91.678","91.430","91.970","91.405","8.35K","0.28%"
"2021년 03월 11일","91.418","91.855","91.895","91.370","40.32K","-0.45%"
"2021년 03월 10일","91.828","92.035","92.250","91.770","48.93K","-0.15%"
"2021년 03월 09일","91.964","92.445","92.530","91.920","41.05K","-0.40%"
"2021년 03월 08일","92.334","91.940","92.440","91.865","41.68K","0.37%"
"2021년 03월 05일","91.990","91.640","92.225","91.640","47.69K","0.38%"
"2021년 03월 04일","91.644","91.025","91.695","90.985","36.47K","0.77%"
"2021년 03월 03일","90.942","90.800","91.075","90.635","28.97K","0.17%"
"2021년 03월 02일","90.790","91.070","91.405","90.730","30.96K","-0.27%"
"2021년 03월 01일","91.036","90.900","91.150","90.685","36.78K","0.17%"
"2021년 02월 26일","90.882","90.335","90.980","90.135","49.29K","0.83%"
"2021년 02월 25일","90.135","90.075","90.295","89.675","44.24K","-0.04%"
"2021년 02월 24일","90.170","90.090","90.445","89.960","30.51K","0.00%"
"2021년 02월 23일","90.167","89.980","90.265","89.925","22.81K","0.19%"
"2021년 02월 22일","89.999","90.345","90.575","89.980","35.65K","-0.40%"
"2021년 02월 19일","90.363","90.540","90.660","90.165","27.10K","-0.26%"
"2021년 02월 18일","90.600","90.870","90.995","90.535","32.79K","-0.38%"
"2021년 02월 17일","90.949","90.705","91.050","90.610","33.42K","0.49%"
"2021년 02월 16일","90.503","90.310","90.630","90.095","30.62K","0.04%"
"2021년 02월 15일","90.470","90.420","90.460","90.250","13.83K","0.00%"
"2021년 02월 12일","90.470","90.410","90.735","90.355","22.47K","0.06%"
"2021년 02월 11일","90.413","90.450","90.480","90.250","18.99K","0.06%"
"2021년 02월 10일","90.363","90.455","90.515","90.235","24.63K","-0.07%"
"2021년 02월 09일","90.429","90.880","90.895","90.405","22.45K","-0.54%"
"2021년 02월 08일","90.919","91.000","91.225","90.880","29.23K","-0.12%"
"2021년 02월 05일","91.032","91.500","91.605","90.960","26.22K","-0.53%"
"2021년 02월 04일","91.520","91.110","91.585","91.085","19.39K","0.41%"
"2021년 02월 03일","91.148","91.035","91.305","90.980","21.00K","-0.04%"
"2021년 02월 02일","91.189","90.995","91.285","90.795","31.19K","0.24%"
"2021년 02월 01일","90.975","90.545","91.050","90.490","26.46K","0.45%"
"2021년 01월 29일","90.569","90.625","90.760","90.335","29.38K","0.16%"
"2021년 01월 28일","90.427","90.755","90.855","90.375","33.31K","-0.23%"
"2021년 01월 27일","90.640","90.165","90.880","90.130","47.30K","0.55%"
"2021년 01월 26일","90.148","90.385","90.595","90.090","26.46K","-0.25%"
"2021년 01월 25일","90.373","90.195","90.510","90.075","18.84K","0.18%"
"2021년 01월 22일","90.212","90.075","90.300","90.050","22.63K","0.09%"
"2021년 01월 21일","90.127","90.400","90.405","90.030","22.29K","-0.38%"
"2021년 01월 20일","90.469","90.388","90.690","90.248","-","-0.01%"
"2021년 01월 19일","90.476","90.700","90.745","90.380","29.11K","-0.31%"
"2021년 01월 18일","90.754","90.770","90.940","90.685","16.27K","0.00%"
"2021년 01월 15일","90.754","90.200","90.790","90.195","29.42K","0.60%"
"2021년 01월 14일","90.215","90.290","90.570","90.040","23.81K","-0.13%"
"2021년 01월 13일","90.334","89.980","90.435","89.890","26.61K","0.30%"
"2021년 01월 12일","90.064","90.485","90.600","89.995","23.64K","-0.42%"
"2021년 01월 11일","90.442","90.090","90.720","90.055","30.54K","0.42%"
"2021년 01월 08일","90.068","89.840","90.230","89.625","38.41K","0.31%"
"2021년 01월 07일","89.791","89.330","89.970","89.325","23.33K","0.32%"
"2021년 01월 06일","89.502","89.390","89.795","89.165","40.29K","0.10%"
"2021년 01월 05일","89.409","89.845","89.845","89.390","19.18K","-0.49%"
"2021년 01월 04일","89.845","89.870","89.925","89.390","28.26K","-0.05%"
"2020년 12월 31일","89.894","89.520","89.965","89.475","13.09K","0.27%"
"2020년 12월 30일","89.649","89.868","89.900","89.515","-","-0.30%"
"2020년 12월 29일","89.918","90.160","90.165","89.785","17.25K","-0.40%"
"2020년 12월 28일","90.275","90.260","90.320","89.895","18.46K","0.03%"
"2020년 12월 24일","90.250","90.185","90.310","90.075","10.83K","-0.10%"
"2020년 12월 23일","90.340","90.535","90.580","90.050","27.55K","-0.23%"
"2020년 12월 22일","90.546","90.100","90.620","89.950","21.87K","0.66%"
"2020년 12월 21일","89.949","90.045","90.950","89.925","39.25K","-0.00%"
"2020년 12월 18일","89.953","89.800","90.055","89.755","17.93K","0.24%"
"2020년 12월 17일","89.741","90.165","90.180","89.640","29.48K","-0.68%"
"2020년 12월 16일","90.359","90.435","90.635","90.045","28.28K","-0.06%"
"2020년 12월 15일","90.409","90.595","90.780","90.345","22.41K","-0.35%"
"2020년 12월 14일","90.731","90.780","90.900","90.455","0.53K","-0.26%"
"2020년 12월 11일","90.970","90.750","91.050","90.630","11.62K","0.17%"
"2020년 12월 10일","90.820","91.065","91.155","90.655","20.89K","-0.29%"
"2020년 12월 09일","91.083","90.905","91.205","90.690","26.09K","0.13%"
"2020년 12월 08일","90.968","90.915","91.020","90.745","23.12K","0.20%"
"2020년 12월 07일","90.789","90.795","91.240","90.610","35.14K","0.10%"
"2020년 12월 04일","90.694","90.650","90.870","90.470","32.95K","-0.03%"
"2020년 12월 03일","90.718","91.070","91.095","90.505","22.12K","-0.44%"
"2020년 12월 02일","91.115","91.190","91.495","90.980","25.50K","-0.20%"
"2020년 12월 01일","91.297","91.900","91.915","91.140","29.58K","-0.61%"
"2020년 11월 30일","91.858","91.730","92.040","91.490","31.58K","0.06%"
"2020년 11월 27일","91.801","92.000","92.035","91.740","9.92K","-0.18%"
"2020년 11월 26일","91.966","91.950","92.165","91.830","8.18K","0.00%"
"2020년 11월 25일","91.966","92.118","92.252","91.910","-","-0.28%"
"2020년 11월 24일","92.220","92.510","92.555","92.105","23.19K","-0.30%"
"2020년 11월 23일","92.494","92.345","92.795","92.000","35.61K","0.11%"
"2020년 11월 20일","92.395","92.330","92.425","92.185","16.26K","0.12%"
"2020년 11월 19일","92.284","92.505","92.720","92.225","20.05K","-0.03%"
"2020년 11월 18일","92.311","92.440","92.510","92.195","14.66K","-0.09%"
"2020년 11월 17일","92.398","92.485","92.605","92.250","17.59K","-0.25%"
"2020년 11월 16일","92.630","92.715","92.850","92.435","29.49K","-0.13%"
"2020년 11월 13일","92.750","92.960","93.005","92.700","14.30K","-0.22%"
"2020년 11월 12일","92.956","92.970","93.125","92.755","23.31K","-0.07%"
"2020년 11월 11일","93.024","92.730","93.190","92.595","23.55K","0.31%"
"2020년 11월 10일","92.736","92.810","92.965","92.585","22.87K","0.02%"
"2020년 11월 09일","92.715","92.230","92.970","92.120","45.99K","0.53%"
"2020년 11월 06일","92.225","92.740","92.825","92.165","32.88K","-0.31%"
"2020년 11월 05일","92.516","93.400","93.540","92.470","35.45K","-0.96%"
"2020년 11월 04일","93.411","93.660","94.330","93.245","36.54K","-0.16%"
"2020년 11월 03일","93.560","94.035","94.060","93.295","18.24K","-0.62%"
"2020년 11월 02일","94.145","94.095","94.315","93.990","14.75K","0.11%"
"2020년 10월 30일","94.042","93.925","94.105","93.660","18.48K","0.07%"
"2020년 10월 29일","93.977","93.470","94.140","93.355","26.34K","0.61%"
"2020년 10월 28일","93.409","93.110","93.660","93.040","25.86K","0.52%"
"2020년 10월 27일","92.927","93.060","93.130","92.775","13.97K","-0.13%"
"2020년 10월 26일","93.044","92.750","93.110","92.730","14.72K","0.30%"
"2020년 10월 23일","92.765","92.970","93.130","92.645","17.69K","-0.21%"
"2020년 10월 22일","92.964","92.725","92.990","92.610","12.27K","0.39%"
"2020년 10월 21일","92.599","93.035","93.060","92.460","24.27K","-0.49%"
"2020년 10월 20일","93.051","93.415","93.505","92.975","22.35K","-0.40%"
"2020년 10월 19일","93.429","93.720","93.775","93.195","21.62K","-0.27%"
"2020년 10월 16일","93.679","93.815","93.885","93.520","19.36K","-0.20%"
"2020년 10월 15일","93.864","93.435","93.925","93.365","17.90K","0.53%"
"2020년 10월 14일","93.366","93.540","93.680","93.240","24.15K","-0.18%"
"2020년 10월 13일","93.536","93.075","93.605","93.045","28.34K","0.46%"
"2020년 10월 12일","93.104","93.110","93.270","93.025","17.46K","0.04%"
"2020년 10월 09일","93.065","93.575","93.620","93.000","19.92K","-0.62%"
"2020년 10월 08일","93.648","93.670","93.820","93.525","14.79K","-0.03%"
"2020년 10월 07일","93.678","93.890","93.975","93.605","20.28K","-0.07%"
"2020년 10월 06일","93.744","93.455","93.915","93.375","26.66K","0.21%"
"2020년 10월 05일","93.545","93.915","93.955","93.415","17.46K","-0.39%"
"2020년 10월 02일","93.909","93.800","94.090","93.735","21.82K","0.16%"
"2020년 10월 01일","93.762","93.865","93.980","93.565","24.77K","-0.18%"
"2020년 09월 30일","93.927","93.900","94.250","93.700","20.01K","0.00%"
"2020년 09월 29일","93.927","94.205","94.350","93.860","17.39K","-0.40%"
"2020년 09월 28일","94.302","94.630","94.670","94.175","20.24K","-0.40%"
"2020년 09월 25일","94.682","94.345","94.795","94.225","18.88K","0.31%"
"2020년 09월 24일","94.394","94.440","94.655","94.225","23.95K","-0.05%"
"2020년 09월 23일","94.443","94.030","94.495","93.965","30.72K","0.45%"
"2020년 09월 22일","94.018","93.585","94.120","93.500","23.40K","0.36%"
"2020년 09월 21일","93.684","93.005","93.815","92.755","32.24K","0.79%"
"2020년 09월 18일","92.952","92.895","93.045","92.770","15.65K","-0.02%"
"2020년 09월 17일","92.969","93.190","93.630","92.875","31.14K","-0.28%"
"2020년 09월 16일","93.231","93.130","93.300","92.800","35.51K","0.16%"
"2020년 09월 15일","93.085","93.070","93.185","92.790","18.64K","0.19%"
